Date,Scale
18-May,0
18-Jun,0
18-Jul,0
18-Aug,0
18-Sep,0
18-Oct,0
18-Nov,0
18-Dec,1
19-Jan,0
19-Feb,0
19-Mar,1
19-Apr,-2
19-May,0
19-Jun,0
19-Jul,0
19-Aug,0
19-Sep,0
19-Oct,0
19-Nov,0
19-Dec,0
20-Jan,0
20-Feb,0
20-Mar,0
20-Apr,-3
20-May,3
20-Jun,2
20-Jul,-1
20-Aug,0
20-Sep,1
20-Oct,0
20-Nov,0
20-Dec,0
21-Jan,1
21-Feb,-1
21-Mar,0
21-Apr,0
21-May,-1
21-Jun,0
21-Jul,1
21-Aug,0
21-Sep,0
21-Oct,1
21-Nov,-1
21-Dec,1
22-Jan,0
22-Feb,-1
22-Mar,1
22-Apr,-1
22-May,0
22-Jun,0
22-Jul,0
22-Aug,0
22-Sep,0
22-Oct,0
22-Nov,1
22-Dec,1
23-Jan,0
23-Feb,0
23-Mar,1
23-Apr,0
23-May,0
23-Jun,0
23-Jul,0
23-Aug,0
23-Sep,1
23-Oct,-1
23-Nov,0
23-Dec,1
24-Jan,1
24-Feb,-1
24-Mar,1
24-Apr,-1
24-May,1
24-Jun,-1
24-Jul,0
24-Aug,-1
24-Sep,0
24-Oct,-1
24-Nov,0
24-Dec,2
25-Jan,1
25-Feb,0
25-Mar,0
25-Apr,-1
25-May,1
25-Jun,0
25-Jul,0
25-Aug,0
25-Sep,0
25-Oct,0
,
